iter	RMSE
0	1.599171469
1	1.589021563
2	1.578920653
3	1.569858401
4	1.556857725
5	1.544289965
6	1.5362449
7	1.526010389
8	1.514269044
9	1.503327774
10	1.495251718
11	1.485384563
12	1.475661761
13	1.473563932
14	1.461335145
15	1.450979416
16	1.448052455
17	1.438440217
18	1.428429032
19	1.416812519
20	1.408053945
21	1.399314481
22	1.389484111
23	1.383342211
24	1.378682537
25	1.370810882
26	1.361932824
27	1.355972255
28	1.34814031
29	1.338395653
30	1.331573644
31	1.325765108
32	1.315847302
33	1.309558317
34	1.300419199
35	1.290365104
36	1.285470097
37	1.275670106
38	1.27003287
39	1.262814001
40	1.25595896
41	1.248316782
42	1.240416845
43	1.23248388
44	1.227941325
45	1.224160256
46	1.216315715
47	1.213881244
48	1.208984448
49	1.202541049
50	1.198507103
51	1.187316361
52	1.17986378
53	1.172433889
54	1.166951625
55	1.159468519
56	1.152188172
57	1.145135227
58	1.139278604
59	1.134187985
60	1.128317889
61	1.126349217
62	1.119454942
63	1.114442452
64	1.109212059
65	1.104268329
66	1.096955603
67	1.09152654
68	1.085919654
69	1.079928702
70	1.075617937
71	1.068278195
72	1.060896289
73	1.05420298
74	1.048688579
75	1.042934806
76	1.036821172
77	1.031143968
78	1.02878566
79	1.024806785
80	1.019190035
81	1.013823337
82	1.009371286
83	1.002598982
84	0.9964776812
85	0.9914580158
86	0.9883439018
87	0.9841839728
88	0.97897041
89	0.9768380496
90	0.9725090607
91	0.9663288152
92	0.9605504347
93	0.9544539347
94	0.9506595595
95	0.9449815992
96	0.9411011738
97	0.9369059064
98	0.9312618316
99	0.927144343
100	0.9238799606
101	0.9202364599
102	0.9173237018
103	0.9103132427
104	0.9045406457
105	0.9011708397
106	0.8980249591
107	0.8937515446
108	0.8883437717
109	0.8831007046
110	0.8793497338
111	0.8744131207
112	0.867894171
113	0.8632911706
114	0.8585713514
115	0.8559705304
116	0.8515092966
117	0.8463791555
118	0.8405612316
119	0.8362062861
120	0.8316121099
121	0.827362627
122	0.8228497239
123	0.8185439819
124	0.8139537581
125	0.8105066076
126	0.8089237779
127	0.8049451332
128	0.8014048927
129	0.7983848972
130	0.7946589332
131	0.7917209576
132	0.7878757525
133	0.7866139576
134	0.7832454422
135	0.7794011386
136	0.7737842053
137	0.7695231638
138	0.7660969759
139	0.762653128
140	0.7577204459
141	0.7547179778
142	0.7519211753
143	0.7477518608
144	0.7446259579
145	0.7402905363
146	0.7366985583
147	0.7316280082
148	0.7275278386
149	0.7237795228
150	0.7195751754
151	0.7147911421
152	0.7101737719
153	0.706149516
154	0.7015686381
155	0.697910299
156	0.6957717975
157	0.6936975872
158	0.690266141
159	0.6860522033
160	0.6806233007
161	0.6766328451
162	0.6720878475
163	0.6705591753
164	0.6652636179
165	0.6616883914
166	0.6583733934
167	0.6547538704
168	0.651144164
169	0.6467243873
170	0.643393264
171	0.6407941176
172	0.635570445
173	0.6318376808
174	0.6286014215
175	0.6246250809
176	0.6206433632
177	0.6181205999
178	0.6134884267
179	0.6116554412
180	0.6110557769
181	0.6070346397
182	0.6037187797
183	0.6004984475
184	0.5970193372
185	0.5939348465
186	0.590857688
187	0.587993311
188	0.585463338
189	0.5811887141
190	0.5777028687
191	0.5753819078
192	0.5718765722
193	0.568604731
194	0.5668072942
195	0.5639875268
196	0.5609906517
197	0.5580016714
198	0.5535453113
199	0.550246873
200	0.547379245
201	0.5449169448
202	0.542932604
203	0.540009098
204	0.5371616499
205	0.5339017334
206	0.5314029405
207	0.5289104452
208	0.526111382
209	0.5224978828
210	0.5218299386
211	0.5190054505
212	0.5166371075
213	0.5142005261
214	0.511648067
215	0.5090012794
216	0.5059773137
217	0.5038722633
218	0.5013773084
219	0.4973052767
220	0.4955056301
221	0.4937018766
222	0.4915027648
223	0.4875689386
224	0.4847399919
225	0.4820974429
226	0.4815451806
227	0.4781526951
228	0.4748682827
229	0.4724388009
230	0.4693419557
231	0.4671590507
232	0.4653802493
233	0.4628927317
234	0.460128649
235	0.4575679814
236	0.454993835
237	0.4520894317
238	0.4507021314
239	0.4485687982
240	0.445965436
241	0.4452153341
242	0.4433684672
243	0.44124646
244	0.4393387335
245	0.4373828152
246	0.4354428092
247	0.4341247367
248	0.4322535025
249	0.4305515727
250	0.428888092
251	0.4282664018
252	0.4278214161
253	0.4260276488
254	0.4255001001
255	0.4242182229
256	0.4223815396
257	0.4204270351
258	0.4184352045
259	0.4177146577
260	0.4173137117
261	0.4154303063
262	0.4148217816
263	0.4132956122
264	0.4114981693
265	0.409945911
266	0.4093804931
267	0.4070028749
268	0.4064970065
269	0.4059673449
270	0.4044079754
271	0.4025744261
272	0.400383388
273	0.399775721
274	0.3976103448
275	0.3949659456
276	0.3943775438
277	0.3928442831
278	0.3912547336
279	0.388916915
280	0.3870839334
281	0.386175759
282	0.3848786265
283	0.3827562599
284	0.3813096244
285	0.3798983132
286	0.378230358
287	0.3768934219
288	0.3764693832
289	0.3746739912
290	0.3728418752
291	0.3716993581
292	0.3709638884
293	0.3695483976
294	0.36824882
295	0.3669447577
296	0.3656846063
297	0.3643512291
298	0.3627238168
299	0.3617243183
300	0.3600495555
301	0.3590833009
302	0.3580545936
303	0.3567808792
304	0.3547419057
305	0.3540997005
306	0.3529520492
307	0.3505743809
308	0.3495958453
309	0.3484014103
310	0.3477975278
311	0.3464567066
312	0.34602378
313	0.345455182
314	0.3439386919
315	0.3435159236
316	0.3424520744
317	0.3415309444
318	0.3403149633
319	0.3396720007
320	0.3383844076
321	0.3360009759
322	0.3338007368
323	0.3316424957
