iter	Passed	Remaining
40409	4226	6082
410	4227	6059
411	4228	6035
412	4230	6012
413	4250	6016
414	4284	6039
415	4285	6015
416	4290	5997
417	4316	6010
418	4321	5992
419	4322	5969
420	4324	5947
421	4327	5926
422	4328	5904
423	4340	5896
424	4369	5911
425	4370	5888
426	4371	5866
427	4372	5843
428	4382	5832
429	4383	5810
430	4384	5788
431	4386	5767
432	4387	5745
433	4467	5826
434	4487	5828
435	4488	5806
436	4521	5824
437	4522	5802
438	4583	5857
439	4584	5835
440	4586	5813
441	4587	5791
442	4591	5773
443	4593	5751
444	4595	5731
445	4599	5712
446	4604	5696
447	4606	5675
448	4647	5703
449	4649	5682
450	4650	5661
451	4651	5639
452	4652	5618
453	4654	5597
454	4656	5577
455	4657	5556
456	4659	5535
457	4661	5516
458	4663	5496
459	4664	5475
460	4666	5456
461	4668	5435
462	4670	5416
463	4672	5397
464	4673	5377
465	4675	5357
466	4677	5338
467	4702	5345
468	4703	5325
469	4704	5305
470	4707	5286
471	4710	5269
472	4711	5249
473	4714	5231
474	4722	5219
475	4723	5200
476	4725	5180
477	4754	5192
478	4755	5172
479	4756	5152
480	4757	5133
481	4805	5164
482	4806	5145
483	4807	5125
484	4808	5106
485	4809	5087
486	4815	5072
487	4816	5053
488	4865	5084
489	4867	5066
490	4868	5047
491	4869	5028
492	4890	5029
493	4891	5010
494	4893	4992
495	4894	4973
496	4896	4955
497	4930	4970
498	4972	4992
499	4973	4973
500	4989	4969
501	4990	4950
502	4990	4931
503	4991	4912
504	4992	4893
505	4996	4877
506	4999	4861
507	5002	4844
508	5003	4826
509	5005	4808
510	5007	4791
511	5009	4774
512	5012	4758
513	5014	4741
514	5015	4723
515	5050	4737
516	5051	4719
517	5052	4701
518	5053	4683
519	5054	4665
520	5130	4716
521	5148	4714
522	5149	4696
523	5172	4698
524	5193	4698
525	5211	4696
526	5212	4678
527	5276	4717
528	5277	4699
529	5279	4681
530	5281	4664
531	5282	4647
532	5308	4650
533	5309	4633
534	5366	4664
535	5367	4646
536	5368	4628
537	5370	4611
538	5387	4607
539	5453	4645
540	5469	4640
541	5470	4622
542	5472	4605
543	5473	4587
544	5474	4570
545	5504	4576
546	5543	4590
547	5544	4573
548	5545	4555
549	5577	4563
550	5578	4546
551	5579	4528
552	5580	4511
553	5585	4496
554	5587	4480
555	5590	4464
556	5591	4446
557	5609	4443
558	5610	4426
559	5611	4409
560	5635	4410
561	5636	4393
562	5637	4376
563	5638	4359
564	5639	4342
565	5642	4326
566	5643	4309
567	5645	4293
568	5646	4277
569	5647	4260
570	5648	4243
571	5649	4227
572	5650	421572	5687	4238
57574	5679	419574	5702	4214
575	5728	4216
576	5729	4200
577	5730	4184
578	5732	4167
579	5733	4151
580	5763	4156
581	5831	4187
582	5832	4171
583	5833	4155
584	5835	4139
585	5837	4124
586	5840	4109
587	5842	4093
588	5843	4077
589	5844	4061
590	5845	4045
591	5899	4065
592	5901	4050
593	5929	4052
594	5930	4036
595	5931	4020
596	5948	4015
597	5959	4006
598	5991	4011
599	5992	3995
600	5993	3979
601	5994	3963
602	5995	3947
603	6013	3942
604	6019	3929
605	6058	3939
606	6059	3923
607	6106	3936
608	6110	3923
609	6114	3909
610	6115	3893
611	6127	3884
612	6146	3880
613	6170	3879
614	6172	3863
615	6189	3858
616	6190	3843
617	6192	3827
618	6193	3812
619	6195	3797
620	6196	3781
621	6216	3777
622	6217	3762
623	6218	3747
624	6222	3733
625	6223	3718
626	6224	3702
627	6225	3687
628	6226	3672
629	6270	3682
630	6273	3668
631	6274	3653
632	6384	3701
633	6385	3686
634	6386	3670
635	6392	3658
636	6400	3647
637	6401	3632
638	6435	3635
639	6437	3620
640	6473	3625
641	6476	3611
642	6478	3596
643	6519	3603
644	6520	3588
645	6521	3573
646	6522	3558
647	6577	3573
648	6578	3558
649	6579	3542
650	6580	3528
651	6581	3513
652	6584	3498
653	6585	3484
654	6586	3469
655	6588	3454
656	6590	3440
657	6603	3432
658	6606	3418
659	6607	3404
660	6651	3411
661	6652	3396
662	6653	3382
663	6654	3367
664	6703	3376
665	6704	3362
666	6705	3347
667	6706	3333
668	6707	3318
669	6711	3305
670	6713	3291
671	6715	3277
672	6753	3281
673	6809	3293
674	6810	3279
675	6811	3264
676	6813	3250
677	6814	3236
678	6847	3236
679	6871	3233
680	6921	3242
681	6922	3227
682	6924	3214
683	6925	3199
684	6934	3188
685	6971	3191
686	7005	3191
687	7006	3177
688	7009	3163
689	7014	3151
690	7070	3161
691	7071	3147
692	7072	3133
693	7073	3118
694	7074	3104
695	7095	3099
696	7109	3090
697	7120	3080
698	7122	3066
699	7123	3052
700	7187	3065
701	7188	3051
702	7204	3043
703	7206	3029
704	7207	3015
705	7210	3002
706	7221	2992
707	7226	2980
708	7228	2966
709	7229	2952
710	7230	2939
711	7237	2927
712	7263	2923
713	7266	2910
714	7267	2896
715	7271	2884
716	7272	2870
717	7344	2884
718	7373	2881
719	7427	2888
720	7428	2874
721	7429	2860
722	7455	2856
723	7476	2850
724	7501	2845
725	7502	2831
726	7503	2817
727	7504	2803
728	7505	2789
729	7506	2776
730	7507	2762
731	7562	2768
732	7566	2756
733	7567	2742
734	7568	2728
735	7569	2715
736	7571	2702
737	7573	2688
738	7574	2675
739	7591	2667
740	7636	2669
741	7637	2655
742	7638	2642
743	7668	2638
744	7684	2630
745	7721	2628
746	7722	2615
747	7723	2602
748	7724	2588
749	7799	2599
750	7800	2586
751	7801	2572
752	7802	2559
753	7803	2545
754	7812	2535
755	7813	2521
756	7826	2512
757	7827	2499
758	7849	2492
759	7860	2482
760	7861	2469
761	7875	2459
762	7876	2446
763	7891	2437
764	7893	2424
765	7894	2411
766	7934	2410
767	7935	2397
768	7936	2383
769	7937	2370
770	7938	2357
771	8005	2364
772	8007	2351
773	8034	2345
774	8079	2345
775	8080	2332
776	8125	2331
777	8126	2318
778	8127	2305
779	8128	2292
780	8129	2279
781	8130	2266
782	8132	2253
783	8134	2241
784	8135	2228
785	8136	2215
786	8137	2202
787	8148	2192
788	8149	2179
789	8150	2166
790	8151	2153
791	8152	2141
792	8154	2128
793	8155	2115
